Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.00462963;[34.7102,57.4961,-31.5794]
5;0;[-nan,-nan,-nan]
6;0.00462963;[-1.13546,64.1962,-5.38836]
7;0;[-nan,-nan,-nan]
8;0;[-nan,-nan,-nan]
9;0;[-nan,-nan,-nan]
10;0.00462963;[76.2611,94.5313,231.44]
11;0.00462963;[69.5789,24.1472,-53.5537]
12;0;[-nan,-nan,-nan]
13;0;[-nan,-nan,-nan]
14;0;[-nan,-nan,-nan]
15;0.00462963;[-12.5928,-36.2944,-55.3187]
16;0;[-nan,-nan,-nan]
17;0;[-nan,-nan,-nan]
18;0;[-nan,-nan,-nan]
19;0;[-nan,-nan,-nan]
20;0;[-nan,-nan,-nan]
21;0;[-nan,-nan,-nan]
22;0;[-nan,-nan,-nan]
23;0;[-nan,-nan,-nan]
24;0;[-nan,-nan,-nan]
25;0;[-nan,-nan,-nan]
26;0;[-nan,-nan,-nan]
27;0.00462963;[8.05902,302.022,-78.3036]
28;0;[-nan,-nan,-nan]
29;0;[-nan,-nan,-nan]
30;0;[-nan,-nan,-nan]
31;0.00462963;[-44.8129,-30.902,5.27879]
32;0;[-nan,-nan,-nan]
33;0.00462963;[-63.7362,25.3795,78.9412]
34;0;[-nan,-nan,-nan]
35;0;[-nan,-nan,-nan]
36;0;[-nan,-nan,-nan]
37;0;[-nan,-nan,-nan]
38;0;[-nan,-nan,-nan]
39;0;[-nan,-nan,-nan]
40;0;[-nan,-nan,-nan]
41;0;[-nan,-nan,-nan]
42;0;[-nan,-nan,-nan]
43;0;[-nan,-nan,-nan]
44;0;[-nan,-nan,-nan]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
