Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0;[-nan,-nan,-nan]
5;0;[-nan,-nan,-nan]
6;0;[-nan,-nan,-nan]
7;0;[-nan,-nan,-nan]
8;0;[-nan,-nan,-nan]
9;0;[-nan,-nan,-nan]
10;0;[-nan,-nan,-nan]
11;0;[-nan,-nan,-nan]
12;0;[-nan,-nan,-nan]
13;0;[-nan,-nan,-nan]
14;0;[-nan,-nan,-nan]
15;0;[-nan,-nan,-nan]
16;0;[-nan,-nan,-nan]
17;0;[-nan,-nan,-nan]
18;0;[-nan,-nan,-nan]
19;0.00462963;[45.1215,-9.18183,-9.51667]
20;0;[-nan,-nan,-nan]
21;0;[-nan,-nan,-nan]
22;0;[-nan,-nan,-nan]
23;0;[-nan,-nan,-nan]
24;0.00462963;[-5.4439,24.4155,-0.344955]
25;0;[-nan,-nan,-nan]
26;0;[-nan,-nan,-nan]
27;0;[-nan,-nan,-nan]
28;0;[-nan,-nan,-nan]
29;0;[-nan,-nan,-nan]
30;0;[-nan,-nan,-nan]
31;0;[-nan,-nan,-nan]
32;0;[-nan,-nan,-nan]
33;0;[-nan,-nan,-nan]
34;0;[-nan,-nan,-nan]
35;0;[-nan,-nan,-nan]
36;0;[-nan,-nan,-nan]
37;0;[-nan,-nan,-nan]
38;0;[-nan,-nan,-nan]
39;0;[-nan,-nan,-nan]
40;0;[-nan,-nan,-nan]
41;0;[-nan,-nan,-nan]
42;0;[-nan,-nan,-nan]
43;0;[-nan,-nan,-nan]
44;0;[-nan,-nan,-nan]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
